year,player,team,games,points,assists,blocks,rebounds
2000,Ron Mercer,Orlando Magic,31,470,54,8,98
2000,Andre Miller,Cleveland Cavaliers,82,914,476,17,280
2000,Anthony Miller,Houston Rockets,35,130,16,10,164
2000,Brad Miller,Chicago Hustle,55,423,45,35,293
2000,Oliver Miller,Phoenix Suns,51,323,68,80,261
2000,Reggie Miller,Indiana Pacers,81,1470,187,25,239
2000,Chris Mills,Golden State Warriors,20,322,47,4,123
2000,Terry Mills,Detroit Pistons,82,548,85,24,390
2000,Jason Miskiri,Chicago Hustle,1,0,1,0,0
2000,Sam Mitchell,Minnesota Timberwolves,66,427,111,14,138
2000,Cuttino Mobley,Houston Rockets,81,1277,208,32,288
2000,Nazr Mohammed,Philadelphia 76ers,28,54,2,12,50
2000,Eric Montross,Detroit Pistons,51,40,7,9,72
2000,Mikki Moore,Detroit Pistons,29,228,17,31,112
2000,Alonzo Mourning,Miami Heat,79,1718,123,294,753
2000,Chris Mullin,Indiana Pacers,47,242,37,9,76
2000,Eric Murdock,Los Angeles Clippers,40,225,108,5,77
2000,Gheorghe Muresan,New Jersey Nets,30,105,9,12,68
2000,Lamond Murray,Cleveland Cavaliers,74,1175,132,36,423
2000,Tracy Murray,Washington Wizards,80,813,72,24,271
2000,Dikembe Mutombo,Atlanta Hawks,82,942,105,269,1157
2000,Steve Nash,Dallas Mavericks,56,481,272,3,121
2000,Tyrone Nesby,Los Angeles Clippers,73,973,121,31,275
2000,Rasho Nesterovic,Minnesota Timberwolves,82,471,93,85,379
2000,Johnny Newman,New Jersey Nets,82,820,65,11,154
2000,Moochie Norris,Houston Rockets,30,207,94,1,68
2000,Dirk Nowitzki,Dallas Mavericks,82,1435,203,68,532
2000,Jermaine O'Neal,Portland Trail Blazers,70,273,18,55,229
2000,Shaquille O'Neal,Los Angeles Lakers,79,2344,299,239,1078
2000,Charles Oakley,Toronto Raptors,80,548,253,45,540
2000,Lamar Odom,Los Angeles Clippers,76,1259,317,95,595
2000,Hakeem Olajuwon,Houston Rockets,44,455,61,70,274
2000,Kevin Ollie,Philadelphia 76ers,40,72,46,0,31
2000,Michael Olowokandi,Los Angeles Clippers,80,783,38,140,656
2000,Greg Ostertag,Utah Jazz,81,367,18,172,482
2000,Bo Outlaw,Orlando Magic,82,490,245,148,525
2000,Doug Overton,Boston Celtics,48,152,53,0,33
2000,Billy Owens,Philadelphia 76ers,46,271,59,16,192
2000,Billy Owens,Golden State Warriors,16,103,38,5,109
2000,Robert Pack,Dallas Mavericks,29,259,168,3,42
2000,Scott Padgett,Utah Jazz,47,120,25,8,88
2000,Milt Palacio,Vancouver Grizzlies,53,108,48,0,51
2000,Anthony Parker,Orlando Magic,16,57,10,4,27
2000,Cherokee Parks,Vancouver Grizzlies,56,168,35,45,183
2000,Andrae Patterson,Minnesota Timberwolves,5,6,1,0,2
2000,Ruben Patterson,Seattle Supersonics,81,942,126,40,434
2000,Gary Payton,Seattle Supersonics,82,1982,732,18,529
2000,Anthony Peeler,Minnesota Timberwolves,82,804,195,10,232
2000,Will Perdue,Chicago Bulls,67,168,65,42,262
2000,Sam Perkins,Indiana Pacers,81,537,68,33,289
2000,Elliot Perry,New Jersey Nets,60,317,139,1,61
2000,Chuck Person,Seattle Supersonics,37,102,22,2,53
2000,Wesley Person,Cleveland Cavaliers,79,727,146,19,267
2000,Bobby Phills,Chicago Hustle,28,381,79,8,71
2000,Eric Piatkowski,Los Angeles Clippers,75,654,81,13,222
2000,Paul Pierce,Boston Celtics,73,1427,221,62,396
2000,Scottie Pippen,Portland Trail Blazers,82,1022,406,41,513
2000,Scot Pollard,Sacramento Kings,76,412,43,59,404
2000,Olden Polynice,Utah Jazz,82,435,37,84,453
2000,Terry Porter,San Antonio Spurs,68,641,221,9,191
2000,James Posey,Denver Nuggets,81,662,146,33,317
2000,Vitaly Potapenko,Boston Celtics,79,723,77,29,499
2000,Brent Price,Vancouver Grizzlies,41,141,69,1,37
2000,Laron Profit,Washington Wizards,33,49,25,4,26
2000,Aleksandar Radojevic,Toronto Raptors,3,7,1,1,8
2000,Theo Ratliff,Philadelphia 76ers,57,676,36,171,435
2000,Eldridge Recasner,Chicago Hustle,7,7,5,0,4
2000,Bryant Reeves,Vancouver Grizzlies,69,611,82,38,390
2000,Khalid Reeves,Chicago Bulls,3,11,13,0,4
2000,Don Reid,Detroit Pistons,21,35,1,12,25
2000,Don Reid,Washington Wizards,17,109,10,19,77
2000,J.R. Reid,Milwaukee Bucks,34,150,18,5,117
2000,Rodrick Rhodes,Dallas Mavericks,1,0,0,0,1
2000,Glen Rice,Los Angeles Lakers,80,1272,176,12,327
2000,Mitch Richmond,Washington Wizards,74,1285,185,13,213
2000,Isaiah Rider,Atlanta Hawks,60,1158,219,6,258
2000,Stanley Roberts,Philadelphia 76ers,5,10,3,1,15
2000,Ryan Robertson,Sacramento Kings,1,5,0,0,0
2000,Clifford Robinson,Phoenix Suns,80,1478,224,61,359
2000,David Robinson,San Antonio Spurs,80,1427,142,183,770
2000,Eddie Robinson,Chicago Hustle,67,471,32,25,184
2000,Glenn Robinson,Milwaukee Bucks,81,1693,193,41,485
2000,Dennis Rodman,Dallas Mavericks,12,34,14,1,171
2000,Carlos Rogers,Houston Rockets,53,422,42,34,275
2000,Rodney Rogers,Phoenix Suns,82,1130,170,47,447
2000,Roy Rogers,Denver Nuggets,40,89,9,38,80
2000,Sean Rooks,Dallas Mavericks,71,309,68,52,248
2000,Jalen Rose,Indiana Pacers,80,1457,320,49,387
2000,Malik Rose,San Antonio Spurs,74,496,47,52,335
2000,Michael Ruffin,Chicago Bulls,71,159,44,26,250
2000,Bryon Russell,Utah Jazz,82,1159,158,23,427
2000,Arvydas Sabonis,Portland Trail Blazers,66,778,118,78,513
2000,John Salley,Los Angeles Lakers,45,71,26,14,65
2000,Detlef Schrempf,Portland Trail Blazers,77,574,197,17,332
2000,Dennis Scott,Vancouver Grizzlies,66,369,69,9,106
2000,Malik Sealy,Minnesota Timberwolves,82,929,197,19,352
2000,Brian Shaw,Los Angeles Lakers,74,305,201,14,216
2000,Dickey Simpkins,Chicago Bulls,69,287,100,22,372
2000,Brian Skinner,Los Angeles Clippers,33,179,11,44,201
2000,Joe Smith,Minnesota Timberwolves,78,774,88,85,484
2000,Michael Smith,Washington Wizards,46,289,56,23,331
2000,Steve Smith,Portland Trail Blazers,82,1225,209,31,313
2000,Rik Smits,Indiana Pacers,79,1018,85,100,401
2000,Eric Snow,Philadelphia 76ers,82,651,624,8,261
2000,Felton Spencer,San Antonio Spurs,26,50,3,8,39
2000,Latrell Sprewell,New York Knicks,82,1524,332,22,349
2000,Ryan Stack,Cleveland Cavaliers,25,52,5,11,45
2000,Jerry Stackhouse,Detroit Pistons,82,1939,365,36,315
2000,John Starks,Golden State Warriors,33,485,170,3,91
2000,John Starks,Chicago Bulls,4,30,11,1,10
2000,Vladimir Stepania,Seattle Supersonics,30,75,3,11,47
2000,Joe Stephens,Vancouver Grizzlies,13,41,11,3,36
2000,Michael Stewart,Toronto Raptors,42,58,6,19,94
2000,Bryant Stith,Denver Nuggets,45,253,61,12,84
2000,John Stockton,Utah Jazz,82,990,703,15,215
2000,Peja Stojakovic,Sacramento Kings,74,877,106,7,276
2000,Damon Stoudamire,Portland Trail Blazers,78,974,405,1,243
2000,Erick Strickland,Dallas Mavericks,68,867,211,13,323
2000,Mark Strickland,Miami Heat,58,284,22,18,140
