name,yearOfBirth,birthCity,birthState,college
Rick Brunson,1972,Syracuse,New York,Temple University
Kevin Ollie,1972,Dallas,Texas,University of Connecticut
Mark Pope,1972,Omaha,Nebraska,University of Kentucky
Lazaro Borrell,1972,Santa Clara,Cuba,
Art Long,1972,Rochester,New York,University of Cincinnati
Zeljko Rebraca,1972,Apatin,Serbia,
Sharrod Ford,1972,Baton Rouge,Louisiana,University of Illinois at Chicago
Chris Webber,1973,Detroit,Michigan,University of Michigan
Juwan Howard,1973,Chicago,Illinois,University of Michigan
Jason Kidd,1973,San Francisco,California,University of California
Donyell Marshall,1973,Reading,Pennsylvania,University of Connecticut
Lamond Murray,1973,Pasadena,California,University of California
Glenn Robinson,1973,Gary,Indiana,Purdue University
Jalen Rose,1973,Detroit,Michigan,University of Michigan
Cory Alexander,1973,Waynesboro,Virginia,University of Virginia
Mario Bennett,1973,Denton,Texas,Arizona State University
Jason Caffey,1973,Mobile,Alabama,University of Alabama
Andrew DeClercq,1973,Detroit,Michigan,University of Florida
Tyus Edney,1973,Gardena,California,"University of California, Los Angeles"
Michael Finley,1973,Melrose Park,Illinois,University of Wisconsin
Voshon Lenard,1973,Detroit,Michigan,University of Minnesota
Donny Marshall,1973,Reading,Pennsylvania,University of Connecticut
Greg Ostertag,1973,Dallas,Texas,University of Kansas
Cherokee Parks,1973,,,Idaho State University
Theo Ratliff,1973,Demopolis,Alabama,University of Wyoming
Bryant Reeves,1973,Fort Smith,Arkansas,Oklahoma State University
Don Reid,1973,Washington,District of Columbia,Georgetown University
Eric Snow,1973,Canton,Ohio,Michigan State University
Damon Stoudamire,1973,Portland,Oregon,University of Arizona
Bob Sura,1973,Wilkes-Barre,Pennsylvania,Florida State University
Shandon Anderson,1973,Atlanta,Georgia,University of Georgia
Darvin Ham,1973,Saginaw,Michigan,Texas Tech University
Amal McCaskill,1973,Maywood,Illinois,Marquette University
Moochie Norris,1973,Washington,District of Columbia,University of West Florida
Joe Stephens,1973,Riverside,California,University of Arkansas at Little Rock
Erick Strickland,1973,Opelika,Alabama,University of Nebraska
Jerome Williams,1973,Washington,District of Columbia,Georgetown University
Drew Barry,1973,Oakland,California,Georgia Institute of Technology
Etdrick Bohannon,1973,San Bernardino,California,Auburn University at Montgomery
Bobby Jackson,1973,East Spencer,North Carolina,University of Minnesota
Rusty LaRue,1973,Winston-Salem,North Carolina,Wake Forest University
Rodrick Rhodes,1973,Jersey City,New Jersey,University of Southern California
Ira Bowman,1973,Newark,New Jersey,University of Pennsylvania
A.J. Bramlett,1973,,,
Jamel Thomas,1973,Brooklyn,New York,Providence College
Courtney Alexander,1973,Waynesboro,Virginia,University of Virginia
Jason Collier,1973,Jacksonville,Florida,Florida State University
Ruben Garces,1973,Colon,Panama,Providence College
Garth Joseph,1973,Roseau,Dominica,College of Saint Rose
Mamadou N'Diaye,1973,Dakar,Senegal,University of North Carolina
Dragan Tarlac,1973,Belgrade,Serbia,
David Vanterpool,1973,Daytona Beach,Florida,St. Bonaventure University
Ruben Wolkowyski,1973,Buenos Aries,Argentina,
Jarron Collins,1973,Jacksonville,Florida,Florida State University
Jason Collins,1973,Jacksonville,Florida,Florida State University
Pat Burke,1973,Dublin,Ireland,Auburn University
Juaquin Hawkins,1973,Gardena,California,"California State University, Long Beach"
Ben Handlogten,1973,Grand Rapids,Michigan,Western Michigan University
James Thomas,1973,Brooklyn,New York,Providence College
Chris Carr,1974,Ironton,Missouri,Southern Illinois University
Antonio McDyess,1974,Quitman,Mississippi,University of Alabama
Jerry Stackhouse,1974,Kinston,North Carolina,University of North Carolina
Gary Trent,1974,Columbus,Ohio,Ohio University
Rasheed Wallace,1974,Philadelphia,Pennsylvania,University of North Carolina
Marcus Brown,1974,West Memphis,Arkansas,Murray State University
Marcus Camby,1974,Hartford,Connecticut,University of Massachusetts Amherst
Tony Delk,1974,Covington,Tennessee,University of Kentucky
Jamie Feick,1974,Lexington,Ohio,Michigan State University
Derek Fisher,1974,Little Rock,Arkansas,University of Arkansas at Little Rock
Othella Harrington,1974,Jackson,Mississippi,Georgetown University
Mark Hendrickson,1974,Mount Vernon,Washington,Washington State University
Kerry Kittles,1974,Dayton,Ohio,Villanova University
Travis Knight,1974,Salt Lake City,Utah,University of Connecticut
Walter McCarty,1974,Evansville,Indiana,University of Kentucky
Jeff McInnis,1974,Charlotte,North Carolina,University of North Carolina
Steve Nash,1974,Johannesburg,South Africa,Santa Clara University
Malik Rose,1974,Philadelphia,Pennsylvania,Drexel University
Ben Wallace,1974,White Hall,Alabama,Virginia Union University
John Wallace,1974,Rochester,New York,Syracuse University
Tariq Abdul-Wahad,1974,Maisons Alfort,France,San Jose State University
Derek Anderson,1974,Louisville,Kentucky,University of Kentucky
Kelvin Cato,1974,Atlanta,Georgia,Iowa State University
Kiwane Garris,1974,Chicago,Illinois,University of Illinois at Urbana-Champaign
Johnny Taylor,1974,Chattanooga,Tennessee,University of Tennessee at Chattanooga
Bryce Drew,1974,Baton Rouge,Louisiana,Valparaiso University
Paul Grant,1974,Pittsburgh,Pennsylvania,University of Wisconsin
Felipe Lopez,1974,Santo Domingo,Dominican Republic,St. John's University
Chucky Atkins,1974,Orlando,Florida,University of South Florida
Adrian Griffin,1974,Wichita,Kansas,Seton Hall University
Dedric Willoughby,1974,New Orleans,Louisiana,Iowa State University
Metta World,1974,,,
Mike Penberthy,1974,Los Gatos,California,Master's College
Horace Jenkins,1974,Elizabeth,New Jersey,William Paterson University
Ibo Kutluay,1974,Istanbul,Turkey,
Markel Brown,1974,West Memphis,Arkansas,Murray State University
Thomas Hamilton,1975,Chicago,Illinois,University of Pittsburgh
Erick Dampier,1975,Jackson,Mississippi,Mississippi State University
Allen Iverson,1975,Hampton,Virginia,Georgetown University
Randy Livingston,1975,New Orleans,Louisiana,Louisiana State University
Vitaly Potapenko,1975,Kiev,Ukraine,Wright State University
Chris Anstey,1975,Melbourne,Australia,
Chris Crawford,1975,Kalamazoo,Michigan,Marquette University
Austin Croshere,1975,Los Angeles,California,Providence College
Antonio Daniels,1975,Columbus,Ohio,Bowling Green State University
Adonal Foyle,1975,Canouan,Saint Vincent and the Grenadines,Colgate University
Chris Garner,1975,Memphis,Tennessee,University of Memphis
Zydrunas Ilgauskas,1975,Kaunas,Lithuania,
Brevin Knight,1975,Livingston,New Jersey,Stanford University
Anthony Parker,1975,Naperville,Illinois,Bradley University
Scot Pollard,1975,Murray,Utah,University of Kansas
Michael Stewart,1975,Cucq-Trepied-Stella-Plage,France,University of California
Jacque Vaughn,1975,Los Angeles,California,University of Kansas
Brandon Williams,1975,Collinston,Louisiana,Davidson College
Toby Bailey,1975,Los Angeles,California,"University of California, Los Angeles"
