voiceActor,movie,character
Mary Moder,Three Little Pigs,Fiddler Pig
Paul Reubens,Beauty and the Beast: The Enchanted Christmas,Fife the Piccolo
Dorothy Compton,Three Little Pigs,Fifer Pig
Kimmy Robertson,Beauty and the Beast,Fifi the Featherduster
Mel Blanc,Pinocchio,Figaro the Cat
Dave Goelz,Journey into Imagination with Figment,Figment
"Tommy ""Tiny"" Lister Jr.",Zootopia,Finnick
George Takei,Mulan,First Ancestor Fa
Hugo Weaving,Fantasia 2000,Firebird !The Firebird
Dan Molina,Chicken Little,Fish Out of Water
Jack McBrayer,Wreck-It Ralph,Fix-It Felix Jr.
Chad Stuart,The Jungle Book,Flaps the Vulture
Raymond S. Persi,Zootopia,Flash Slothmore
Hal Smith,DuckTales,Flintheart Glomgold
Frank Welker,Pocahontas,Flit
Verna Felton,Sleeping Beauty,Flora
Paddi Edwards,The Little Mermaid,Flotsam and Jetsam
Jason Marin,The Little Mermaid,Flounder
Stan Alexander,Bambi,Flower
Leo De Lyon,The Jungle Book,Flunkey the Baboon
Zachary Levi,Tangled,Flynn Rider
Larry Grey,Cinderella,Footman
Tim Curry,Beauty and the Beast: The Enchanted Christmas,Forte the Pipe Organ
Amy Sedaris,Chicken Little,Foxy Loxy
Edie McClurg,Higglytown Heroes,Fran
Roscoe Lee Browne,Oliver & Company,Francis
Bronson Pinchot,Lady and the Tramp II: Scamp's Adventure,Francois
Ed Gilbert,The Rescuers Down Under,Francois
Wayne Robson,The Rescuers Down Under,Frank
Aurian Redson,Meet the Robinsons,Frankie the Frog
Nicole Sullivan,Meet the Robinsons,Franny Robinson
S. Scott Bullock,Timon and Pumbaa,Fred
Andy Devine,Robin Hood,Friar Tuck
Will Wright,Bambi,Friend Owl
Nancy Kulp,The Aristocats,Frou-Frou
Tress MacNeille,Chip 'n Dale Rescue Rangers,Gadget Hackwrench
Corey Burton,Atlantis: The Lost Empire,"Gaetan ""Mole"" Moliére"
Kevin Michael Richardson,Lilo & Stitch,Captain Gantu
Richard White,Beauty and the Beast,Gaston
Shakira,Zootopia,Gazelle
Dennis Haysbert,Wreck-It Ralph,General Hologram
James Shigeta,Mulan,General Li
Robin Williams,Aladdin,Genie
Hans Conried,Peter Pan,George Darling
Charles Lane,The Aristocats,Georges Hautecourt
Bette Midler,Oliver & Company,Georgette
Christian Rub,Pinocchio,Geppetto
Dorothy Scott,Dumbo,Giddy the Elephant
Mel Blanc,Pinocchio,Gideon
Amy Adams,Enchanted,Giselle
Rob Paulsen,DuckTales,Gladstone Gander
Grey Delisle,Secret of the Wings,Gliss
Joan Gerber,DuckTales,Glittering Goldie
Matthew Josten,Meet the Robinsons,Goob
Pinto Colvig,Mickey's Revue,Goofy
Mark Walton,Chicken Little,Goosey Loosey
Howard Morris,Winnie the Pooh and the Honey Tree,Gopher
Christine Cavanaugh,Darkwing Duck,Gosalyn Mallard
David Ogden Stiers,Pocahontas,Governor John Ratcliffe
Jennifer Tilly,Home on the Range,Grace
Rachel House,Moana,Gramma Tala
Larry Clemmons,The Rescuers,Gramps
Zoe Caldwell,Lilo & Stitch,Grand Councilwoman
Luis Van Rooten,Cinderella,The Grand Duke
June Foray,"This is Your Life, Donald Duck",Grandma Duck
June Foray,Mulan,Grandmother Fa
Linda Hunt,Pocahontas,Grandmother Willow
Vicki Lawrence,The Fox and the Hound 2,Granny Rose
Charles Fleischer,Who Framed Roger Rabbit,Greasy the Weasel
Fred Shields,Bambi,Great Prince of the Forest
Ben Wright,The Little Mermaid,Grimsby
Brian Pimental,Bambi II,The Groundhog
Pinto Colvig,Snow White and the Seven Dwarfs,Grumpy
John Byner,The Black Cauldron,Gurgi
Jimmy MacDonald,Cinderella,Gus Lollygagger
Clarence Nash,Donald's Cousin Gus,Gus Goose
Hal Smith,DuckTales,Gyro Gearloose
James Woods,Hercules,Hades
Micheal McShane,Treasure Planet,Hands
Otis Harlan,Snow White and the Seven Dwarfs,Happy
Will Ryan,The Little Mermaid,Harold the Seahorse
James Avery,Aladdin,Haroud Hazi Bin
Corey Burton,The Princess and the Frog,Harvey Fenner
Alan Tudyk,Moana,Heihei the Rooster
Claudia Christian,Atlantis: The Lost Empire,Helga Sinclair
Jerry Kernion,The Princess and the Frog,Henry Fenner
Samantha Eggar,Hercules,Hera
Jim Cummings,Darkwing Duck,Herb Muddlefoot
Tate Donovan,Hercules,Hercules
Paul Shaffer,Hercules,Hermes
